LECROYWS44MXs-B 69584 Waveform
Segments 1 SegmentSize 1002
Segment TrigTime TimeSinceSegment1
#1 23-Jun-2015 17:54:51 0                 
Time Ampl
-5.16792e-008 1.6471
-5.14792e-008 1.6471
-5.12792e-008 1.65042
-5.10792e-008 1.64378
-5.08792e-008 1.6471
-5.06792e-008 1.64378
-5.04792e-008 1.64378
-5.02792e-008 1.64378
-5.00792e-008 1.6471
-4.98792e-008 1.64378
-4.96792e-008 1.6471
-4.94792e-008 1.64378
-4.92792e-008 1.6471
-4.90792e-008 1.64378
-4.88792e-008 1.6471
-4.86792e-008 1.6471
-4.84792e-008 1.6471
-4.82792e-008 1.64378
-4.80792e-008 1.6471
-4.78792e-008 1.6471
-4.76792e-008 1.6471
-4.74792e-008 1.64378
-4.72792e-008 1.64378
-4.70792e-008 1.64046
-4.68792e-008 1.6471
-4.66792e-008 1.64046
-4.64792e-008 1.6471
-4.62792e-008 1.64378
-4.60792e-008 1.6471
-4.58792e-008 1.64378
-4.56792e-008 1.64378
-4.54792e-008 1.6471
-4.52792e-008 1.6471
-4.50792e-008 1.64378
-4.48792e-008 1.6471
-4.46792e-008 1.6471
-4.44792e-008 1.6471
-4.42792e-008 1.64378
-4.40792e-008 1.65042
-4.38792e-008 1.64378
-4.36792e-008 1.64378
-4.34792e-008 1.6471
-4.32792e-008 1.64378
-4.30792e-008 1.64378
-4.28792e-008 1.65042
-4.26792e-008 1.6471
-4.24792e-008 1.65042
-4.22792e-008 1.6471
-4.20792e-008 1.6471
-4.18792e-008 1.6471
-4.16792e-008 1.65042
-4.14792e-008 1.6471
-4.12792e-008 1.65042
-4.10792e-008 1.65042
-4.08792e-008 1.65042
-4.06792e-008 1.65042
-4.04792e-008 1.65042
-4.02792e-008 1.65042
-4.00792e-008 1.65374
-3.98792e-008 1.65042
-3.96792e-008 1.6471
-3.94792e-008 1.6471
-3.92792e-008 1.6471
-3.90792e-008 1.6471
-3.88792e-008 1.6471
-3.86792e-008 1.65042
-3.84792e-008 1.64378
-3.82792e-008 1.64378
-3.80792e-008 1.65042
-3.78792e-008 1.65042
-3.76792e-008 1.65042
-3.74792e-008 1.6471
-3.72792e-008 1.65042
-3.70792e-008 1.65042
-3.68792e-008 1.65042
-3.66792e-008 1.6471
-3.64792e-008 1.65042
-3.62792e-008 1.65042
-3.60792e-008 1.65042
-3.58792e-008 1.6471
-3.56792e-008 1.65042
-3.54792e-008 1.6471
-3.52792e-008 1.6471
-3.50792e-008 1.6471
-3.48792e-008 1.6471
-3.46792e-008 1.64378
-3.44792e-008 1.65042
-3.42792e-008 1.6471
-3.40792e-008 1.65042
-3.38792e-008 1.6471
-3.36792e-008 1.65374
-3.34792e-008 1.65042
-3.32792e-008 1.65042
-3.30792e-008 1.65042
-3.28792e-008 1.65374
-3.26792e-008 1.65042
-3.24792e-008 1.65042
-3.22792e-008 1.6471
-3.20792e-008 1.65042
-3.18792e-008 1.65374
-3.16792e-008 1.65042
-3.14792e-008 1.6471
-3.12792e-008 1.64378
-3.10792e-008 1.6471
-3.08792e-008 1.65042
-3.06792e-008 1.6471
-3.04792e-008 1.65042
-3.02792e-008 1.65042
-3.00792e-008 1.65042
-2.98792e-008 1.65374
-2.96792e-008 1.65042
-2.94792e-008 1.65374
-2.92792e-008 1.65042
-2.90792e-008 1.65042
-2.88792e-008 1.65042
-2.86792e-008 1.65042
-2.84792e-008 1.65374
-2.82792e-008 1.6471
-2.80792e-008 1.65042
-2.78792e-008 1.64378
-2.76792e-008 1.65042
-2.74792e-008 1.6471
-2.72792e-008 1.65042
-2.70792e-008 1.64378
-2.68792e-008 1.6471
-2.66792e-008 1.6471
-2.64792e-008 1.65042
-2.62792e-008 1.65042
-2.60792e-008 1.64378
-2.58792e-008 1.6471
-2.56792e-008 1.65042
-2.54792e-008 1.65374
-2.52792e-008 1.65042
-2.50792e-008 1.65042
-2.48792e-008 1.6471
-2.46792e-008 1.65042
-2.44792e-008 1.65374
-2.42792e-008 1.65042
-2.40792e-008 1.6471
-2.38792e-008 1.6471
-2.36792e-008 1.6471
-2.34792e-008 1.6471
-2.32792e-008 1.65042
-2.30792e-008 1.6471
-2.28792e-008 1.65042
-2.26792e-008 1.6471
-2.24792e-008 1.65042
-2.22792e-008 1.6471
-2.20792e-008 1.65042
-2.18792e-008 1.6471
-2.16792e-008 1.65042
-2.14792e-008 1.6471
