LECROYWS44MXs-B 69584 Waveform
Segments 1 SegmentSize 1002
Segment TrigTime TimeSinceSegment1
#1 23-Jun-2015 23:26:03 0                 
Time Ampl
-5.16716e-008 1.64378
-5.14716e-008 1.6471
-5.12716e-008 1.6471
-5.10716e-008 1.6471
-5.08716e-008 1.6471
-5.06716e-008 1.65042
-5.04716e-008 1.6471
-5.02716e-008 1.65042
-5.00716e-008 1.6471
-4.98716e-008 1.65042
-4.96716e-008 1.6471
-4.94716e-008 1.65042
-4.92716e-008 1.64378
-4.90716e-008 1.6471
-4.88716e-008 1.6471
-4.86716e-008 1.64378
-4.84716e-008 1.64378
-4.82716e-008 1.6471
-4.80716e-008 1.64378
-4.78716e-008 1.65042
-4.76716e-008 1.64046
-4.74716e-008 1.64378
-4.72716e-008 1.64378
-4.70716e-008 1.6471
-4.68716e-008 1.64378
-4.66716e-008 1.6471
-4.64716e-008 1.6471
-4.62716e-008 1.64378
-4.60716e-008 1.64378
-4.58716e-008 1.6471
-4.56716e-008 1.6471
-4.54716e-008 1.64046
-4.52716e-008 1.64378
-4.50716e-008 1.64378
-4.48716e-008 1.64378
-4.46716e-008 1.6471
-4.44716e-008 1.64046
-4.42716e-008 1.64046
-4.40716e-008 1.65042
-4.38716e-008 1.6471
-4.36716e-008 1.64378
-4.34716e-008 1.65042
-4.32716e-008 1.64378
-4.30716e-008 1.65042
-4.28716e-008 1.6471
-4.26716e-008 1.65042
-4.24716e-008 1.65042
-4.22716e-008 1.6471
-4.20716e-008 1.65042
-4.18716e-008 1.6471
-4.16716e-008 1.64378
-4.14716e-008 1.65042
-4.12716e-008 1.64378
-4.10716e-008 1.65042
-4.08716e-008 1.64378
-4.06716e-008 1.6471
-4.04716e-008 1.6471
-4.02716e-008 1.65042
-4.00716e-008 1.6471
-3.98716e-008 1.6471
-3.96716e-008 1.65042
-3.94716e-008 1.65042
-3.92716e-008 1.6471
-3.90716e-008 1.6471
-3.88716e-008 1.64378
-3.86716e-008 1.6471
-3.84716e-008 1.6471
-3.82716e-008 1.6471
-3.80716e-008 1.64378
-3.78716e-008 1.6471
-3.76716e-008 1.64378
-3.74716e-008 1.6471
-3.72716e-008 1.65042
-3.70716e-008 1.65042
-3.68716e-008 1.65042
-3.66716e-008 1.65042
-3.64716e-008 1.6471
-3.62716e-008 1.65042
-3.60716e-008 1.64378
-3.58716e-008 1.6471
-3.56716e-008 1.64378
-3.54716e-008 1.64378
-3.52716e-008 1.64378
-3.50716e-008 1.64378
-3.48716e-008 1.64378
-3.46716e-008 1.6471
-3.44716e-008 1.64378
-3.42716e-008 1.65042
-3.40716e-008 1.6471
-3.38716e-008 1.65042
-3.36716e-008 1.64378
-3.34716e-008 1.6471
-3.32716e-008 1.64046
-3.30716e-008 1.6471
-3.28716e-008 1.6471
-3.26716e-008 1.6471
-3.24716e-008 1.6471
-3.22716e-008 1.6471
-3.20716e-008 1.64378
-3.18716e-008 1.6471
-3.16716e-008 1.6471
-3.14716e-008 1.65042
-3.12716e-008 1.6471
-3.10716e-008 1.65042
-3.08716e-008 1.64378
-3.06716e-008 1.6471
-3.04716e-008 1.6471
-3.02716e-008 1.6471
-3.00716e-008 1.64378
-2.98716e-008 1.6471
-2.96716e-008 1.65042
-2.94716e-008 1.6471
-2.92716e-008 1.64378
-2.90716e-008 1.65042
-2.88716e-008 1.64378
-2.86716e-008 1.6471
-2.84716e-008 1.6471
-2.82716e-008 1.65042
-2.80716e-008 1.65042
-2.78716e-008 1.6471
-2.76716e-008 1.64378
-2.74716e-008 1.65042
-2.72716e-008 1.64378
-2.70716e-008 1.65042
-2.68716e-008 1.64378
-2.66716e-008 1.6471
-2.64716e-008 1.6471
-2.62716e-008 1.65042
-2.60716e-008 1.64378
-2.58716e-008 1.6471
-2.56716e-008 1.64378
-2.54716e-008 1.6471
-2.52716e-008 1.65042
-2.50716e-008 1.65042
-2.48716e-008 1.6471
-2.46716e-008 1.65042
-2.44716e-008 1.65042
-2.42716e-008 1.65042
-2.40716e-008 1.64378
-2.38716e-008 1.64046
-2.36716e-008 1.64378
-2.34716e-008 1.6471
-2.32716e-008 1.64378
-2.30716e-008 1.6471
-2.28716e-008 1.64378
-2.26716e-008 1.6471
-2.24716e-008 1.64378
-2.22716e-008 1.6471
-2.20716e-008 1.64378
-2.18716e-008 1.6471
-2.16716e-008 1.6471
-2.14716e-008 1.65042
-2.12716e-008 1.6471
-2.10716e-008 1.65042
-2.08716e-008 1.65042
-2.06716e-008 1.65042
-2.04716e-008 1.6471
-2.02716e-008 1.65042
-2.00716e-008 1.64378
-1.98716e-008 1.65042
-1.96716e-008 1.65042
-1.94716e-008 1.65042
-1.92716e-008 1.65042
-1.90716e-008 1.65042
-1.88716e-008 1.65042
-1.86716e-008 1.65042
-1.84716e-008 1.65042
-1.82716e-008 1.65042
-1.80716e-008 1.65042
-1.78716e-008 1.65042
-1.76716e-008 1.6471
-1.74716e-008 1.64378
-1.72716e-008 1.64378
-1.70716e-008 1.65042
-1.68716e-008 1.6471
-1.66716e-008 1.65042
-1.64716e-008 1.65042
-1.62716e-008 1.6471
-1.60716e-008 1.6471
-1.58716e-008 1.6471
-1.56716e-008 1.6471
-1.54716e-008 1.6471
-1.52716e-008 1.6471
-1.50716e-008 1.64046
-1.48716e-008 1.64046
-1.46716e-008 1.64378
-1.44716e-008 1.63714
-1.42716e-008 1.64378
-1.40716e-008 1.64378
-1.38716e-008 1.64378
-1.36716e-008 1.64378
-1.34716e-008 1.65042
-1.32716e-008 1.65042
-1.30716e-008 1.65374
-1.28716e-008 1.65042
-1.26716e-008 1.65374
-1.24716e-008 1.65042
-1.22716e-008 1.65374
-1.20716e-008 1.65042
-1.18716e-008 1.65042
-1.16716e-008 1.65042
-1.14716e-008 1.65042
-1.12716e-008 1.6471
-1.10716e-008 1.6471
-1.08716e-008 1.65042
-1.06716e-008 1.6471
-1.04716e-008 1.64378
-1.02716e-008 1.64378
-1.00716e-008 1.64378
-9.87158e-009 1.6471
-9.67158e-009 1.6471
-9.47158e-009 1.6471
-9.27158e-009 1.64378
-9.07158e-009 1.6471
-8.87158e-009 1.6471
-8.67158e-009 1.6471
-8.47158e-009 1.65042
-8.27158e-009 1.65042
-8.07158e-009 1.65042
-7.87158e-009 1.65042
-7.67158e-009 1.65042
-7.47158e-009 1.65042
-7.27158e-009 1.65374
-7.07158e-009 1.65042
-6.87158e-009 1.65374
-6.67158e-009 1.65374
-6.47158e-009 1.65042
-6.27158e-009 1.65042
-6.07158e-009 1.65374
-5.87158e-009 1.65706
-5.67158e-009 1.65706
-5.47158e-009 1.66039
-5.27158e-009 1.66371
-5.07158e-009 1.66703
-4.87158e-009 1.66703
-4.67158e-009 1.67035
-4.47158e-009 1.67035
-4.27158e-009 1.67699
-4.07158e-009 1.68031
-3.87158e-009 1.68695
-3.67158e-009 1.68695
-3.47158e-009 1.6936
-3.27158e-009 1.70356
-3.07158e-009 1.70688
-2.87158e-009 1.71352
-2.67158e-009 1.72016
-2.47158e-009 1.72348
-2.27158e-009 1.73345
-2.07158e-009 1.74341
-1.87158e-009 1.75005
-1.67158e-009 1.75337
-1.47158e-009 1.76333
-1.27158e-009 1.7733
-1.07158e-009 1.77662
-8.71581e-010 1.78326
-6.71581e-010 1.7899
-4.71581e-010 1.79987
-2.71581e-010 1.80983
-7.15808e-011 1.81647
1.28419e-010 1.82975
3.28419e-010 1.83307
5.28419e-010 1.84304
7.28419e-010 1.84968
9.28419e-010 1.85964
1.12842e-009 1.86296
1.32842e-009 1.8696
1.52842e-009 1.87625
1.72842e-009 1.88289
1.92842e-009 1.88953
2.12842e-009 1.89949
2.32842e-009 1.90946
2.52842e-009 1.90946
2.72842e-009 1.9161
2.92842e-009 1.92938
3.12842e-009 1.93602
3.32842e-009 1.93934
3.52842e-009 1.94267
3.72842e-009 1.94931
3.92842e-009 1.95595
4.12842e-009 1.95927
4.32842e-009 1.95595
4.52842e-009 1.96259
4.72842e-009 1.96923
4.92842e-009 1.96591
5.12842e-009 1.96923
5.32842e-009 1.96923
5.52842e-009 1.97587
5.72842e-009 1.97255
5.92842e-009 1.97255
6.12842e-009 1.97587
6.32842e-009 1.97587
6.52842e-009 1.9792
6.72842e-009 1.9792
6.92842e-009 1.9792
7.12842e-009 1.98252
7.32842e-009 1.9792
7.52842e-009 1.98584
7.72842e-009 1.9792
7.92842e-009 1.98252
8.12842e-009 1.9792
8.32842e-009 1.97255
8.52842e-009 1.97255
8.72842e-009 1.97587
8.92842e-009 1.96923
9.12842e-009 1.96591
9.32842e-009 1.96259
9.52842e-009 1.96259
9.72842e-009 1.95595
9.92842e-009 1.95263
1.01284e-008 1.94931
1.03284e-008 1.94599
1.05284e-008 1.94599
1.07284e-008 1.94931
1.09284e-008 1.94267
1.11284e-008 1.93602
1.13284e-008 1.93602
1.15284e-008 1.93602
1.17284e-008 1.92938
1.19284e-008 1.92938
1.21284e-008 1.92606
1.23284e-008 1.9161
1.25284e-008 1.91278
1.27284e-008 1.90946
1.29284e-008 1.90281
1.31284e-008 1.89949
1.33284e-008 1.88953
1.35284e-008 1.88953
1.37284e-008 1.88621
1.39284e-008 1.88289
1.41284e-008 1.87957
1.43284e-008 1.87625
1.45284e-008 1.86628
1.47284e-008 1.86296
1.49284e-008 1.85964
1.51284e-008 1.85632
1.53284e-008 1.85632
1.55284e-008 1.853
1.57284e-008 1.84304
1.59284e-008 1.84304
1.61284e-008 1.83972
1.63284e-008 1.8364
1.65284e-008 1.82975
1.67284e-008 1.82643
1.69284e-008 1.81979
1.71284e-008 1.81979
1.73284e-008 1.81315
1.75284e-008 1.80983
1.77284e-008 1.80319
1.79284e-008 1.80319
1.81284e-008 1.79987
1.83284e-008 1.79322
1.85284e-008 1.78658
1.87284e-008 1.78326
1.89284e-008 1.77994
1.91284e-008 1.7733
1.93284e-008 1.7733
1.95284e-008 1.76998
1.97284e-008 1.76333
1.99284e-008 1.76333
2.01284e-008 1.76333
2.03284e-008 1.76333
2.05284e-008 1.75337
2.07284e-008 1.75005
2.09284e-008 1.74673
2.11284e-008 1.74673
2.13284e-008 1.74341
2.15284e-008 1.74009
2.17284e-008 1.73345
2.19284e-008 1.73013
2.21284e-008 1.7268
2.23284e-008 1.72348
2.25284e-008 1.72348
2.27284e-008 1.72016
2.29284e-008 1.72016
2.31284e-008 1.71352
2.33284e-008 1.71684
2.35284e-008 1.7102
2.37284e-008 1.70688
2.39284e-008 1.7102
2.41284e-008 1.70688
2.43284e-008 1.70356
2.45284e-008 1.70356
2.47284e-008 1.70356
2.49284e-008 1.69692
2.51284e-008 1.6936
2.53284e-008 1.6936
2.55284e-008 1.6936
2.57284e-008 1.6936
2.59284e-008 1.69027
2.61284e-008 1.68695
2.63284e-008 1.68695
2.65284e-008 1.68363
2.67284e-008 1.68363
2.69284e-008 1.68031
2.71284e-008 1.68031
2.73284e-008 1.67699
2.75284e-008 1.67699
2.77284e-008 1.67367
2.79284e-008 1.67367
2.81284e-008 1.67367
2.83284e-008 1.67035
2.85284e-008 1.67367
2.87284e-008 1.66703
2.89284e-008 1.67035
2.91284e-008 1.67035
2.93284e-008 1.66371
2.95284e-008 1.66371
2.97284e-008 1.66371
2.99284e-008 1.66371
3.01284e-008 1.66039
3.03284e-008 1.66039
3.05284e-008 1.65706
3.07284e-008 1.66039
3.09284e-008 1.66371
3.11284e-008 1.65706
3.13284e-008 1.65706
3.15284e-008 1.65374
3.17284e-008 1.65374
3.19284e-008 1.65706
3.21284e-008 1.6471
3.23284e-008 1.65042
3.25284e-008 1.65042
3.27284e-008 1.6471
3.29284e-008 1.65042
3.31284e-008 1.65042
3.33284e-008 1.65042
3.35284e-008 1.64378
3.37284e-008 1.65042
3.39284e-008 1.65042
3.41284e-008 1.65042
3.43284e-008 1.6471
3.45284e-008 1.65042
3.47284e-008 1.64378
3.49284e-008 1.6471
3.51284e-008 1.64378
3.53284e-008 1.64378
3.55284e-008 1.63714
3.57284e-008 1.64378
3.59284e-008 1.63714
3.61284e-008 1.64046
3.63284e-008 1.64046
3.65284e-008 1.64046
3.67284e-008 1.64046
3.69284e-008 1.64046
3.71284e-008 1.64378
3.73284e-008 1.64378
3.75284e-008 1.63714
3.77284e-008 1.63714
3.79284e-008 1.63714
3.81284e-008 1.63382
3.83284e-008 1.63714
3.85284e-008 1.63714
3.87284e-008 1.63714
3.89284e-008 1.64046
3.91284e-008 1.64046
3.93284e-008 1.64046
3.95284e-008 1.64046
3.97284e-008 1.64378
3.99284e-008 1.64046
4.01284e-008 1.63714
4.03284e-008 1.63382
4.05284e-008 1.64046
4.07284e-008 1.63382
4.09284e-008 1.63714
4.11284e-008 1.63714
4.13284e-008 1.63714
4.15284e-008 1.63714
4.17284e-008 1.64378
4.19284e-008 1.64046
4.21284e-008 1.63714
4.23284e-008 1.63714
4.25284e-008 1.63714
4.27284e-008 1.63382
4.29284e-008 1.63382
4.31284e-008 1.63382
4.33284e-008 1.63382
4.35284e-008 1.6305
4.37284e-008 1.63382
4.39284e-008 1.63382
4.41284e-008 1.63714
4.43284e-008 1.63382
4.45284e-008 1.6305
4.47284e-008 1.6305
4.49284e-008 1.63714
4.51284e-008 1.63382
4.53284e-008 1.63714
4.55284e-008 1.63382
4.57284e-008 1.64046
4.59284e-008 1.63714
4.61284e-008 1.63714
4.63284e-008 1.63714
4.65284e-008 1.63714
4.67284e-008 1.63382
4.69284e-008 1.63714
4.71284e-008 1.6305
4.73284e-008 1.63714
4.75284e-008 1.63382
4.77284e-008 1.6305
4.79284e-008 1.63382
4.81284e-008 1.63382
4.83284e-008 1.63714
4.85284e-008 1.63714
4.87284e-008 1.63714
4.89284e-008 1.63714
4.91284e-008 1.63714
4.93284e-008 1.63714
4.95284e-008 1.63714
4.97284e-008 1.63714
4.99284e-008 1.63714
5.01284e-008 1.63714
5.03284e-008 1.63714
5.05284e-008 1.63714
5.07284e-008 1.63382
5.09284e-008 1.63714
5.11284e-008 1.6305
5.13284e-008 1.63382
5.15284e-008 1.62718
5.17284e-008 1.63382
5.19284e-008 1.62718
5.21284e-008 1.63714
5.23284e-008 1.6305
5.25284e-008 1.64046
5.27284e-008 1.63382
5.29284e-008 1.63714
5.31284e-008 1.63382
5.33284e-008 1.63714
